-0,4
-0,4
-0,40000000000001473
2,2204460492503132e-17
2,2204460492503132e-17
-0,0
-0,0
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-1,1102230246251566e-17
-0,0
-0,0
-0,0
-0,0
6,661338147750939e-17
-0,0
-0,0
-4,884981308350689e-16
-0,3126654064272139
-0,0
-0,0
-0,4
-0,0
-0,4
-1,1102230246251566e-17
-0,39999999999999974
-0,39999999999999974
-0,0
-0,06144000000000034
-0,4
-0,3999999999999947
-0,38147448015122565
2,3536728122053318e-15
-0,400000000000011
-0,4
-0,4
0,4998775159203057
0,49986585608670026
0,4997317121734005
0,4997317121734005
-0,3999999999999999
-0,3999999999999999
-0,3999999999999999
-0,0
-0,0
-0,4
-0,3999999999999999
-0,0
-0,0
-0,4
-0,4
-0,01504000000000003
-4,4408920985006264e-17
-0,3999999999999999
-0,06144000000000003
-0,4
-2,2204460492503132e-17
-0,2449905482041507
-0,4
-0,4
-0,0
-0,4
-0,4
-0,4
-0,4
-0,4000000000000078
-0,4
-0,3999999999999998
-0,4000000000000078
-0,4
-0,4
-0,4000000000000078
-0,4
-0,0
-0,0614399999999975
-0,4
-0,4000000000000008
-0,0
-0,06143999999999998
-0,4
-0,4
-0,06144000000000007
-0,0
-0,4
-0,4
8,881784197001253e-17
-0,06143999999999998
-0,4
-0,39999999999999997
-0,39999999999999536
