-0,4
-0,4
-0,4
-0,0
-0,0
-2,2204460492503132e-17
-0,0
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-1,1102230246251566e-17
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-4,4408920985006264e-17
2,220446049250313e-16
-0,3126654064272225
-0,0
-0,4
-0,0
-0,4
-1,1102230246251566e-17
-0,39999999999999974
-0,03071999999999999
-0,4
-0,03071999999999999
-0,4
-0,06143999999999994
-0,4
-0,0
-0,4
-0,03071999999999999
-0,4
-0,03071999999999999
-0,4
-0,06143999999999998
-0,4
-0,0
-0,3999999999999999
-0,3999999999999999
-8,881784197001253e-17
-0,2540642722117202
-0,4
-0,0
-0,3999999999999999
-0,0
-0,4
-0,0
-0,3999999999999999
-4,4408920985006264e-17
-0,3999999999999999
-0,4
-4,4408920985006264e-17
-2,2204460492503132e-17
-0,4
-0,24499054820415891
-4,4408920985006264e-17
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,4
-0,03071999999999773
-0,4000000000000011
-0,03071999999999999
-0,4
-0,0
-0,4000000000000002
-0,06144000000000351
-0,4
-0,0
-0,3999999999999984
-0,061439999999998454
-0,4
-0,06143999999999972
-1,7763568394002506e-16
-0,4
-0,4
-0,39999999999999536
