chp;pem;meth;bat
0.5078661763417672,0.45382756580143346,0.40549860580196634,0.3555518747734626,0.35553519336621864,0.7151234097266974,0.3024615854738528,0.573242286087817,0.3554895117792787,0.35548099845378694,0.4054626311319398,0.45381840790797795,0.6449495924025933,0.30268513785804096,0.6449132079832057,0.3555018312427137,0.09945893685878605,0.40542232728980765,0.35552942526474485,0.5013642389386496,0.30285182048002285,0.4054247977909857,0.18213721941480204,0.0047775004908102835,0.002759255771755029,0.24594671957659023,0.24594798610764965,0.1820362531576199,0.30286935347717187,0.0018064633997964443,0.3555221627276753,0.0027592535347555755,0.0027592520285949916,0.24585307619710223,0.0027592560288999743,0.3555416938779574,0.0018064629203746888,0.24582615878286784,0.24583378603266162,0.30290362725872877,0.5012173389144683,0.40553343750118015,0.7145459293180021,0.4055781983640769,0.9762722305715918,0.8403609322378419,0.9898488507842016,0.9898508825139215,0.9915395579087506,0.9910950011112963,0.9765836512182242,0.9996362554239567,0.9910643877133817,0.9914965978543215,0.9914736948375067,0.9234110506557656,0.9766265795868934,0.990875878038603,0.9234134868562986,0.9907263034310716,0.9233906339833481,0.9233670185457249,0.7140279320457241,0.8398974392942773,0.7804151433121398,0.8876013611248307,0.5003560613539417,0.5717010284608356,0.09883325920559254,0.40421680555842404,0.3014552688289505,0.24410839389499214,0.30107725118037343,0.0027592495056043944,0.24346226426015122,0.0027592492665099166,0.30014706519785533,0.24267219327493528,0.09779427446699135,0.17809251157282577,0.0021374108722468465,0.0018064592811703113,0.004777459157208031,0.0969263929572664,0.0967208488960693,0.0027592401371931987,0.09625751170473393,0.0012339724931189446,0.001806459513539215,0.09542092431970277,0.001441030250582299,0.002759219351324388,0.00477728607756989,0.0013255295332556486,0.0027591656422496476,0.4008220327617764;0.8191583916372325,0.8307002446565329,0.8437051407490699,0.859134899982221,0.8585585189670988,0.768725862571953,0.877053634430007,0.8038409794211708,0.858407802279978,0.8584950658254387,0.8434049856296058,0.8307171313747144,0.7878423506558578,0.8780373116812498,0.7877886411559823,0.8587900255623944,0.9806157926951506,0.8434278210593918,0.8590694739715433,0.8193813712990776,0.8790326400936634,0.843629834982959,0.9388301432544753,0.9999538273074743,0.9999845864452711,0.9046327036884639,0.9045837802164651,0.9386369219036058,0.8788495553707131,0.9999934018682488,0.8590500305980929,0.9999845864454504,0.999984586445492,0.9042305603424302,0.9999845864454789,0.858770822901876,0.9999934018682585,0.9040980443428134,0.9040777054155874,0.878370770788283,0.8186635974327225,0.8429832226628099,0.7679354944817598,0.8429629438611405,0.31406086955926193,0.7004608499576253,0.20016176904672103,0.20040304981854973,0.1892542385279429,0.1904262615252207,0.3150669798107274,0.04146148395143605,0.19099975433449037,0.19090633624947276,0.19118775273555083,0.5457204559639124,0.31575192090282744,0.19339987012822377,0.546032647780187,0.19515857003985196,0.5463429043750833,0.5465397534025148,0.7680095141740266,0.701073356272814,0.741953509894008,0.6368376129481758,0.8185116249135953,0.8028101158035696,0.980709160930717,0.8428083544025394,0.878397136296199,0.9043245614625772,0.8784684687360013,0.9999845864459945,0.9045257635099369,0.999984586446044,0.8786958500916708,0.9048156781523239,0.9810710848346057,0.9395590994650581,0.9999907566324566,0.9999934018683139,0.9999538273506356,0.9813620906798532,0.9814276014642603,0.9999845864465245,0.9815673847666909,0.9999969293665837,0.9999934018683485,0.9817839105318085,0.999995806931957,0.9999845864475212,0.9999538273863221,0.999996454485941,0.9999845864496119,0.8428310886183622;0.31558050310205493,0.31818557627596195,0.3216423606020489,0.32584989025460154,0.32580888419633247,0.302118276946453,0.3311538641498109,0.31122768058823225,0.3258094614827106,0.32581607384327727,0.32163444600718416,0.3182248792015942,0.30710055306998374,0.33118623204717995,0.3070866550615397,0.32583775953024846,0.35496554922639245,0.3216298667904908,0.32586191982464036,0.315253088786378,0.3312091890292123,0.3216544348778484,0.34617773350654435,0.35933665543179233,0.3599002905753885,0.3379004977515697,0.33789574858236165,0.3461979702134228,0.3311264719055751,0.3596102164110255,0.32577744406022946,0.35994118950194376,0.35994619020632296,0.33787246355077566,0.35995330605658976,0.325715906054729,0.35961982380889573,0.33786651119751515,0.33786616739801967,0.331045315138702,0.3150880289551677,0.3214694707140721,0.30191172587673976,0.3214615243013567,0.14861058647385833,0.28335536105137743,0.09785324609279608,0.09797805081023281,0.09096919367546068,0.08962721547403656,0.14914563790214366,0.01870941558412312,0.09000197022134114,0.09177203678333844,0.09193437726640727,0.23582622168182588,0.14951738575694834,0.09145475949283031,0.23592587994378664,0.09243802699391634,0.2360255343184664,0.23608790825338427,0.3019259971680765,0.28352355753611697,0.2949125848493465,0.26468635422863346,0.3150534087663185,0.3110060129449331,0.3552380173361422,0.3214382765492799,0.33110688649391307,0.33803051244952725,0.33113368269566024,0.3600154796429643,0.3381002942811329,0.36001878064486403,0.33121387632844335,0.33819662622884566,0.3553657283087361,0.34673053201080684,0.3598811444862576,0.3596605637644873,0.35956990638244485,0.3554859083278506,0.35551927420226903,0.3600613362689213,0.355604353368844,0.35916745415029744,0.35969501245506036,0.35580653146268393,0.3593637524850111,0.3602254189741212,0.3599856361175269,0.3592695934496143,0.36063200242155047,0.3215786965112008;6.434299436878456e-14,-0.014382680937115727,-0.014226786064414645,-0.01401681232250723,-0.01402536541072842,-0.014938316995883265,-0.013727663861286292,-0.014658474085649612,-0.014029372668395303,-0.014028981778042921,-0.014234934648574756,-0.014388652091801653,-0.014799086180458432,-0.013717743946525071,-0.014801791551724496,-0.014031230799845173,-0.007980561734490547,-0.014243123844375942,-0.014031383033877097,-0.014522474573427183,-0.013709073994574472,-0.014247357779504798,-0.01197836040430154,-3.8936451208300216e-05,-1.3021941698619875e-05,-0.013168061467020457,-0.013171290159354403,-0.011994726948722202,-0.013728161372836493,-5.579114055776897e-06,-0.01405490159893103,-1.3021955055608113e-05,-1.3021957136775391e-05,-0.013195513603692777,-1.3021961367689132e-05,-0.014071401830128498,-5.5791167711979165e-06,-0.013207975250456592,-0.013210816745071933,-0.013764188630325372,-0.014577364943464415,-0.014302628232428553,-0.015017965527639501,-0.014309057394346118,-0.023023173790688023,-0.0154827708781286,-0.09309438015416831,-0.09329894269385917,-0.6830157362335504,-0.27799500744742983,-0.023293546377588768,-0.9993501214002144,-0.278679602137141,-0.684371804817508,-0.6846799935251355,-0.016848781730571076,-0.024042868509918634,-0.28144560260297824,-0.017231428106315068,-0.28337069805709514,-0.017663561587392063,-0.017947988057529323,-0.016425735152605456,-0.017251926655347815,-0.01721162168808313,-0.018426512397685484,-0.0170193232343929,-0.01756855598562538,-0.008842366082064674,-0.017683858132373796,-0.01724866239573407,-0.01675575636061201,-0.018100040736376298,-1.3025186856722246e-05,-0.018069764382825808,-1.3025707474651767e-05,-0.020331971471366565,-0.019779575634430935,-0.010070234430114063,-0.018344369181924766,-7.815127824471487e-06,-5.580150751924376e-06,-3.8990024738209424e-05,-0.011093081541000676,-0.011336664200284693,-1.3029031161726374e-05,-0.01188540732451534,-2.599190372204432e-06,-5.580636150955429e-06,-0.012878324172058255,-3.547976726566477e-06,-1.3031505160724587e-05,-3.902586800097551e-05,-3.000704441303145e-06,-1.3032810157314094e-05,-0.2837694457690799
0.6464516267203403,0.7916360816820951,0.49237148760785193,0.5684266910821929,0.44186034068979657,0.4923125962452802,0.4923373571055761,0.6451237694772941,0.2782786659332157,0.3901227159366448,0.21489357642256687,0.3360560567512454,0.33606974683707014,0.4417897003608249,0.3901260957597964,0.3360397416285965,0.21486307083284614,0.2782122010754988,0.44174642794973673,0.3360301146290587,0.39006911573313785,0.2781753611982642,0.14170312401877236,0.3900368653294785,0.39003930508925333,0.27814728192557925,0.27812321761320574,0.1416701217175868,8.110389351737776e-05,0.00010739534761422882,0.00010739534762991193,8.11038921760693e-05,9.179513697180916e-05,9.179513695419843e-05,6.703521799328923e-05,0.0001920699435570391,0.00019206997473726012,0.14161175005328341,0.1416112080506385,0.277991075806292,0.3357972568457875,0.3357943232108241,0.38984948176422163,0.3898420324234558,0.3898287310040778,0.38984290354732076,0.6447658937210494,0.7912762920092329,0.7912713659109355,0.7912553999557008,0.7912432369578186,0.9558268740685437,0.9668735869123204,0.568014747777017,0.9667908399463913,0.8523034151324492,0.964164344984282,0.955652994902689,0.9556086949805218,0.9999850781404706,0.4916855830866097,0.8988698941222606,0.8988243621734439,0.7198065172309046,0.9656623189118991,0.6439274570992825,0.4406715047303979,0.7193084564286754,0.3888052362895471,0.7900197488899199,0.3885520998804727,0.49051825532490895,0.6430148360015295,0.38819357051579295,0.7893507602857638,0.4899917460856638,0.4897962282448724,0.48961633246843905,0.387417671595731,0.8971615867042531,0.5650999463335342,0.8496046636463784,0.7877998609779145,0.4884563643820423,0.8962260510514102,0.8959912540404787,0.9494303380969668,0.9487841871002729,0.6388579892348821,0.9469831601773742,0.9260762767291757,0.6360507348939727,0.9230183922495938,0.7780063644014688,0.8817744444487158,0.00011581338118381366;0.7822521438952249,0.7305713184561405,0.8127512418750814,0.7966969993563665,0.8250621098669442,0.812727717933664,0.8127421207022316,0.7806280521152996,0.8857434185745006,0.840211218799106,0.9194145415253768,0.8598311737288721,0.8598425136753414,0.8250605506856729,0.8402354280921582,0.8598467685429534,0.9194347603631906,0.8857685351884392,0.8250660005726944,0.8598694587505216,0.8402457396415054,0.8857846350806713,0.9596189581466062,0.8402533395298621,0.8402617024842699,0.8858098875424326,0.8858100640488437,0.9596326830296803,0.9999999986810895,0.9999999887350332,0.9999999887350332,0.9999999986810895,0.9999999950271927,0.9999999950271927,1.0000000026375115,0.9999999364040686,0.9999999364040686,0.9596677733613097,0.9596726623838923,0.8858898880743766,0.8599615796758939,0.8599707023174781,0.8403303496168597,0.8403368931491312,0.8403412730831891,0.8403591579531657,0.7807369422852576,0.7308567386280002,0.7308792940879788,0.7308904024809775,0.7308966557520866,0.38326071708112575,0.28857589355986735,0.7968179377359363,0.28918662045807686,0.6821751089792852,0.26139090514166974,0.3842262325866909,0.38444934423708477,0.009909130909229256,0.812925177048871,0.6058309552271586,0.6060030440704124,0.760961583775935,0.29635728402075057,0.7809084600623036,0.8254279636977873,0.7610355435923785,0.8407709480523223,0.7315367465150177,0.8408374304266267,0.8131444746830792,0.7810762736827273,0.840981398905994,0.7319377701236809,0.8132845888413133,0.8133032859916534,0.8133355746250002,0.8412511737630853,0.6105572680739163,0.7973991245140346,0.685612926563939,0.7328969012107333,0.8136702109129412,0.613215476881024,0.6139170411518984,0.415741362153986,0.41908864509138183,0.7820104061551493,0.4282790583801736,0.5277443624039784,0.7826037676703026,0.5399925574511473,0.7382579849486599,0.6463849281071243,0.9999999848821465;0.30631671468432914,0.29185161603831683,0.31424082245278584,0.30986033588524836,0.31767740215540846,0.3142347041893609,0.3142383844252765,0.30556286446147674,0.3342817061016685,0.32193677802887544,0.3425876842928277,0.3273807610328063,0.32738293948153213,0.31767683459283685,0.3219419450788856,0.32738394384195246,0.34259110839761453,0.33428654294688903,0.3176778540056087,0.32738834283768037,0.32194399819344405,0.33428963065625145,0.3513991425444593,0.32194562298308954,0.32194722354637806,0.3342940195422771,0.33429441792887615,0.3514021018291726,0.3613638913337586,0.36195741242223184,0.3619572587385132,0.36136421621300496,0.3616743771992035,0.3616743158982295,0.3608945463441492,0.3612413768415225,0.3612406395128502,0.35140775542329405,0.3514078408920354,0.3343087845924351,0.3274058413290898,0.3274075173591622,0.3219597921955676,0.3219610233896143,0.32196178219037935,0.3219657981196155,0.30558376489019357,0.29192504616533543,0.2919309550337862,0.2919337672885671,0.2919338883843858,0.17793279084243288,0.1390940518665956,0.3098747456981846,0.13934868201212636,0.27794316806629976,0.12348085334968241,0.178300994290864,0.17838489209112582,0.006666193805570096,0.31426660901833664,0.2547643934563932,0.25481870312646915,0.30024505875789537,0.1422756102420827,0.30561882317330324,0.3177558813926984,0.3002675309571406,0.322059375652416,0.2921103478556146,0.32207535321280134,0.31432611141604705,0.30566329930480046,0.3221101740208935,0.29222119574437705,0.3143606981488197,0.3143652149513721,0.31437314274573663,0.3221744774120105,0.2562476440158511,0.3100188680788838,0.2789471460599278,0.29248435736586087,0.31445463086420855,0.2570765993433196,0.2572949609759041,0.18999514584305865,0.19122590807414885,0.3058862923271824,0.19459143056230474,0.22945569715111885,0.30603173216619145,0.23354653662595046,0.2939428484526699,0.26725925852377974,0.3613766049954004;-0.03389311863056653,-0.03522772698143532,-0.03314426893875616,-0.033494914995845004,-0.032952513522681116,-0.0331597111062419,-0.0331665472433162,-0.033943986156743246,-0.031503040760910615,-0.0327810144896918,-0.02886183699070741,-0.03244956522288956,-0.03246181990007177,-0.033047593885890764,-0.03284796638515524,-0.032507147918269794,-0.028921805687717437,-0.03161564773872369,-0.033140055549551115,-0.03258134026519988,-0.03296629566022448,-0.03169057609836518,-0.021159071812308347,-0.033040654800196724,-0.03306705996970612,-0.03177968657798086,-0.03180514659095573,-0.021205626440867126,-3.4399947062806758e-09,-1.2399983115571364e-08,-1.2399983130626494e-08,-3.439994722525329e-09,-6.7999913025892575e-09,-6.799991310973115e-09,4.0000251594820856e-10,-5.7199747182007235e-08,-5.719974731695517e-08,-0.02130767334710035,-0.02131762390464961,-0.03214852441901876,-0.03316936114653401,-0.033202221898714857,-0.03363244483217477,-0.033669897669640646,-0.03370887121897713,-0.0337487560465743,-0.03507136576571562,-0.036536091546647505,-0.03658913730230968,-0.03664457302759359,-0.03670141552398072,-0.06965394684531806,-0.15976666622792632,-0.03499097320888499,-0.16053429145441334,-0.038510923369556374,-0.34969246670897525,-0.07116137998078101,-0.07151635311255139,-0.9999743856512963,-0.035341863638694744,-0.042472282862558844,-0.042801099318761936,-0.037565372289216935,-0.16984848271639572,-0.03746708376223695,-0.0365341216960789,-0.038770548734515596,-0.03678873707632551,-0.04050908952877483,-0.0374108355560508,-0.03842384030449118,-0.039886615930470236,-0.03845380959641408,-0.04269601655270227,-0.04002313701572853,-0.04047928222656668,-0.040960859204263976,-0.040582549165065686,-0.052524060358323035,-0.04322145646481395,-0.04950767295053044,-0.047831722808843534,-0.04460333447752263,-0.058146833520362234,-0.05961552850572666,-0.12114943799791564,-0.12650144421917095,-0.05180474689420189,-0.14133929749349702,-0.09461879039358131,-0.05966793966298547,-0.11702718998420523,-0.07918749268065225,-0.13534950263893247,-1.5768415226164993e-08
0.9999999978734175,0.999999997873417,0.9999999978733413,0.9999999978733461,0.9999999972984793,0.9999999978733418,0.9999999978735051,0.9999999978733465,0.9999999978731237,0.9999999978733426,0.9999999978734928,0.99999999776839,0.9999999978734259,0.9999999978733463,0.9999999978734218,0.9999999978733445,0.99999999776839,0.9999999978735199,0.9999999967965313,0.9999999978733458,0.9999999967965313,0.999999997873522,0.999999995683703,0.9999999929030743,0.9999999743198077,0.999999943148093,0.9999999577854836,0.9987918632790055,0.9891884120630983,0.6710656180774924,0.00014048109211267916,0.00011443315177099152,0.00011443315178070842,0.0006611216120116548,0.3049776193368122,0.39722234349091756,0.4290895704571697,0.4064071688535319,0.2839794105832539,0.0001733446920992215,0.00012821442150920967,9.984509907307544e-05,0.00010121548140987645,0.00010263890228142696,0.00010893889401281432,0.00010565931208823702,0.00010645349805043247,0.00013099468741665604,0.00013550337759491755,0.0001480032632982425,0.00014800326329816014,0.0001441026485636632,0.00015222097810979905,0.0001876382504994103,0.00035074103550393086,0.00035074103548968574,0.0003507410355310033,0.0002009192079153268,0.0002470074599956032,0.005243882514302132,0.2033301032848637,0.44703894676436245,0.8701462578228895,0.9640769886589067,0.9730480088944589,0.9914334805068994,0.9963642253528018,0.9999999184819947,0.9997117993616778,0.9999998682613135,0.9999998682613135,0.9999999326155902,0.9999999878338965,0.9999999920594806,0.9999999967965313,0.9999999967965313,0.9999999978735374,0.9999999967965313,0.9999999978735373,0.9999999978733991,0.9999999978734193,0.9999999978733995,0.9999999978733441,0.9999999978734078,0.9999999978734111,0.999999997873366,0.9999999978733728,0.9999999978733269,0.9999999978733379,0.9999999978733506,0.9999999978733489,0.9999999978733785,0.9999999978734195,0.9999999978734213,0.9999999978734541,0.9947663590732118;0.0002525390502041038,0.00025253793701702923,0.0002525390129070192,0.0002525385500127001,0.000257777566417853,0.00025253900880811963,0.0002525368836126691,0.00025253855227431185,0.0002525410703958272,0.00025253900600429475,0.0002525370848915919,0.00025350562985966996,0.0002525376313217405,0.00025253857628866177,0.0002525386215438526,0.0002525390037840852,0.00025350563001776794,0.00025253790790851014,0.00026224465522580663,0.0002525390028523309,0.0002622446552484872,0.00025253789875655437,0.00027182610738075036,0.00029414143480119525,0.00041053587119511714,0.0005517066003239089,0.0004905359277245489,0.07768571347190124,0.1710196117034715,0.7736381533951567,0.9999999738051898,0.9999999869839885,0.9999999869839885,0.999999138498045,0.8721851852736633,0.8382659412694751,0.8289194734287957,0.8354631405368025,0.8815099355592718,0.9999999531165618,0.999999980371337,0.9999999930820644,0.9999999925494875,0.9999999919873654,0.9999999893910423,0.9999999907645901,0.9999999904363368,0.9999999789388445,0.9999999765462229,0.9999999694658783,0.9999999694658783,0.9999999717455588,0.9999999669294763,0.9999999427263438,0.9999997653310406,0.9999997653310406,0.9999997653310406,0.9999999323209935,0.9999998906247887,0.999910684938806,0.9221572572343782,0.8241506393213697,0.6595996304521983,0.3452707946331587,0.28977697108257156,0.14927000221522352,0.10309714905559961,0.0006411626314017006,0.024423000940679403,0.000791656893519344,0.0007916643690835528,0.0005916546777718136,0.0003304088936692402,0.00030052680549180343,0.00026224465444196754,0.0002622446543273907,0.00025253781377517295,0.00026224465393094115,0.00025253781167394897,0.0002525380486121279,0.0002525379574337475,0.00025253822964901385,0.0002525389390974465,0.00025253813289781435,0.00025253809067647334,0.00025253869213609444,0.0002525386140354167,0.0002525393304566415,0.0002525392028757353,0.0002525390569878092,0.0002525391414672238,0.00025253877151332687,0.00025253794533440375,0.00025253811287664647,0.00025253782719754906,0.12008795537865366;0.0001266273216990976,0.0001266267044946018,0.00012662724875513027,0.0001266269650345726,0.00012901598434760653,0.00012662724718433575,0.00012662620960200051,0.00012662696707167325,0.00012662812741380465,0.0001266272469202377,0.00012662631136334845,0.00012706767040184314,0.0001266265338555037,0.0001266269816676425,0.00012662715066012606,0.00012662724885897683,0.0001270676705745672,0.0001266268678427885,0.00013105658346877275,0.00012662725083468826,0.0001310565835142528,0.00012662686562024892,0.0001354440432869452,0.00014571176174634333,0.00019999048552293475,0.0002665654186308753,0.00023767475981715212,0.0436970382421523,0.09004933334433804,0.30334625375051744,0.3613865882821226,0.3609585603557965,0.3609583255737689,0.35898962253752625,0.33030532306191607,0.32080687629446986,0.3182014104725988,0.3200227887626753,0.33287663005237345,0.3616167430143793,0.3612113476294237,0.36064423948280694,0.36067496059969795,0.36070669244705134,0.3608440117437627,0.3607732316508982,0.36079051396152645,0.3612551937653184,0.36132158268418907,0.36147021393524825,0.36147011761204456,0.36142928241978095,0.36150822859062426,0.3616185742684355,0.36036095220627123,0.3603605876012426,0.36036042707579274,0.3615808790295451,0.36126972972328386,0.3581560007894539,0.3435361034000082,0.31687192578656653,0.2706935565786076,0.16117661183478013,0.13936513065692344,0.08048187215180362,0.05753638742337824,0.0003087182062658509,0.011967724015453932,0.0003799624836513101,0.00037996729987441777,0.00028544046282031455,0.00016251670086162275,0.00014866091375375883,0.00013105658378157956,0.00013105658373398552,0.0001266268384679183,0.00013105658355914114,0.00012662683678590534,0.00012662674650012706,0.00012662672458195224,0.0001266268584026596,0.00012662720027667128,0.00012662681295150493,0.00012662679288163385,0.00012662708604244214,0.00012662704956014633,0.00012662741385001055,0.00012662735433694358,0.00012662728616636942,0.00012662733628859087,0.00012662715902719078,0.00012662671842838708,0.00012662682612727522,0.00012662670715503894,0.06588447692392436;-0.05233730643586343,-0.1658159327412585,-0.07125711313566806,-0.09017703187933515,-7.858866876308615e-07,-0.07125710387103695,-0.12799103976985196,-0.09017695624315311,-0.20365393086085884,-0.0712570551642522,-0.14690185056914729,-4.208045822201356e-06,-0.10908613785198201,-0.09017671608833745,-0.05233716802959426,-0.07125691592065027,-4.208049730037075e-06,-0.033439229968128814,-4.2936566722196e-07,-0.07125681509212266,-4.293656874735374e-07,-0.03343928743798104,-2.2174256920535967e-07,-1.0914125450527084e-07,-3.8477318810400026e-08,-2.7389332433640643e-08,-3.047523176796431e-08,-1.875684533234962e-08,-1.875649095667672e-08,-1.8756446738396382e-08,-5.853529627620405e-09,-3.0625258396753604e-09,-3.062525849111097e-09,-1.7683444957359746e-08,-1.8756442853684377e-08,-1.875644468130486e-08,-1.875644512636211e-08,-1.875644489559681e-08,-1.8756442407687616e-08,-8.641680832366833e-09,-4.605275659228614e-09,-1.2759192365588916e-09,-1.4499243148013385e-09,-1.6293839054076002e-09,-2.407239913849977e-09,-2.0057257135807933e-09,-2.103648119024723e-09,-4.8985411207524055e-09,-5.3612071846247455e-09,-6.561241160285724e-09,-6.561241175452978e-09,-6.199659833653052e-09,-6.9393322677886086e-09,-9.627954299091412e-09,-1.5321618685035177e-08,-1.5321618720492393e-08,-1.5321618755949602e-08,-1.0438976095919381e-08,-1.2619812078665946e-08,-1.87455183169971e-08,-1.8756439141899916e-08,-1.8756446463686302e-08,-1.8756450811400793e-08,-1.875646044572375e-08,-1.875646512186231e-08,-1.875650457259663e-08,-1.87565781747671e-08,-2.474065628447563e-08,-1.8758137313148592e-08,-2.244243261503042e-08,-2.244243267302425e-08,-2.6016364137825042e-08,-6.412221713396373e-08,-9.623647864765717e-08,-4.2936626365767215e-07,-4.293662743327381e-07,-0.03344281012635567,-4.2936629595385317e-07,-0.033443219832913484,-0.12799959787484555,-0.16581903079745827,-0.1847304474761598,-0.22255455396011978,-0.18473045274885402,-0.1847305253557258,-0.22255412412688755,-0.22255408474430688,-0.29820037714283454,-0.29820024994028926,-0.2982001417022888,-0.3360238978878329,-0.31711160923573417,-0.20364552297141103,-0.27929072274087263,-0.35493854285429577,-0.9913501406811868
