chp;pem;meth;bat
0.506713959181176,0.45269461608941935,0.4047254623902347,0.3555280364450133,0.3556025123381586,0.7136718344661697,0.3041174115317754,0.5717260956099273,0.35565703293884876,0.3556450483348454,0.4048479206969737,0.4527416674726974,0.6433556398526998,0.3041656447402628,0.6433336756620669,0.355645161430384,0.1005409173829908,0.40480416887221465,0.3556461233110318,0.500059483344291,0.3040893779735368,0.40480308595338904,0.18643146241858602,8.110980577986579e-05,8.114661459752279e-05,0.2470184266736478,0.2468524121784788,0.1863037874542619,0.3036082600366141,8.120006795733915e-05,0.3553195369396217,8.114239825994262e-05,8.114236809040732e-05,0.24656979673472854,8.114203560079348e-05,0.35517277136123476,8.12021245226329e-05,0.24655828513695988,0.24657128220086005,0.3032718912144105,0.4999760913412765,0.40457336378954617,0.7135550131398106,0.4046127386704292,0.9745187498774264,0.8392609357710585,0.9895983846438899,0.9895943720500989,0.9915355596054038,0.9908355049755011,0.9745943685950624,1.0000000057685665,0.9907971541412257,0.9915097585374251,0.9914940952484753,0.9228352946358724,0.9745524878946459,0.9905742335692947,0.9227365462923365,0.9904078158826485,0.9226349444094928,0.922568336253612,0.7131884671128998,0.8387276633286429,0.7796429420485097,0.8860137570302098,0.49914844951211373,0.5706688847089475,0.09953498239159823,0.4030719369496704,0.3016116456882661,0.24478153694940796,0.3011985260253906,8.11330514010353e-05,0.24410002406497894,8.113133816986915e-05,0.3001903703661261,0.24328195222779028,0.09841948606076398,0.18280735362430886,8.116282531445593e-05,8.11882049770123e-05,8.107831223708707e-05,0.09750782758475718,0.097297579641261,8.112307131596532e-05,0.09683169688201351,8.123802810151414e-05,8.118171909920479e-05,0.09603967032242244,8.121361942650869e-05,8.111298129691625e-05,8.105230631921807e-05,8.122135797618575e-05,8.110230519258679e-05,0.4019845263301938;0.8162264524156564,0.8288650691540688,0.8419040816442996,0.8582262743805669,0.8582640418873422,0.7654543491226369,0.8801938792863575,0.8005823277468666,0.858848330838874,0.8588456255065426,0.8420267619950771,0.8284374654899973,0.7843032327981321,0.8801854798422512,0.7843569984251639,0.8585877935322287,0.980534542646414,0.8416486944026892,0.8583577712821209,0.8165411189325134,0.8797623362649951,0.8414363565818606,0.9467109090306296,1.000000003978089,1.0000000039780896,0.9095235069242603,0.9093216226320112,0.9466164754008104,0.8810268025117136,1.0000000039780899,0.8596274607341058,1.0000000039780896,1.0000000039780896,0.9096340334344665,1.0000000039780896,0.8598414168822753,1.0000000039780899,0.9097745289077882,0.9098058391082694,0.8814154567334028,0.8173273404329175,0.843060687388749,0.7660379015962271,0.84308783835605,0.32316574757389227,0.6983270240590465,0.21501565094108271,0.21502439998537667,0.19666559947026904,0.2047580036191621,0.32334956256218184,0.00020124453307221576,0.20501537943007866,0.19683246000719548,0.1969896517646046,0.5451720196985309,0.3238760210592329,0.20663926242392644,0.5452941834654639,0.2078808494697578,0.5454666910170995,0.5455923877682243,0.7663364785068033,0.6987147570889839,0.7401545073984678,0.6339460820166605,0.8177799782102764,0.8015704738025131,0.9807371284121026,0.843680302274778,0.8823181025630188,0.9108602853769885,0.8825080597591918,1.0000000039780896,0.9111622133449294,1.0000000039780896,0.883039258759013,0.911586148467204,0.981137521131431,0.9482013883335322,1.0000000039780899,1.0000000039780899,1.000000003978089,0.9814731310144879,0.9815527402621197,1.0000000039780896,0.9817306297871313,1.0000000039780899,1.0000000039780899,0.9820453261065232,1.0000000039780899,1.0000000039780896,1.000000003978089,1.0000000039780899,1.0000000039780896,0.8396146514198468;0.3148501598402612,0.31770746556701945,0.32107379399188885,0.32508311391472633,0.3250781967132814,0.30126551366080545,0.33031915742739215,0.31053701903965236,0.3251807519977285,0.3251800034965454,0.3210617848590167,0.3176633407695561,0.3063187544865012,0.33031142072565756,0.30632157001646176,0.32513296664953,0.355326723143387,0.3210013109274279,0.325089244612963,0.3146674041065668,0.3302169002077417,0.320963643682633,0.34669675076573897,0.35981059136438764,0.3596843341473842,0.33733938145574904,0.337320871225688,0.3466508626536357,0.33051116556912785,0.35964002151380464,0.32533804052696375,0.3596812162791544,0.3596813912850937,0.33744449292578604,0.359679773621793,0.32538201936780314,0.35964179465543583,0.3374816913710287,0.33748879880644045,0.33060436982696645,0.3147339422199521,0.32123089270797633,0.3012160173802215,0.3212304526711221,0.1473860375281163,0.2825747996622795,0.0957490887037068,0.09575148252518352,0.08990428816812078,0.09226106782628854,0.14752394380523454,0.00010267058554601538,0.09232730091827587,0.08947593777855087,0.08931660730499341,0.23572678778343817,0.1477824576944459,0.09278041901498273,0.2357599815834574,0.09317241684269773,0.235810695626879,0.23584754806716363,0.3012692446984201,0.2826645221948607,0.29416952234627186,0.2638238102722014,0.31482304066025546,0.3106291160070474,0.3553223348510714,0.3213597955940174,0.3307890105307072,0.33771098829385876,0.33083208008294457,0.3596681195473851,0.33777588282989324,0.35966661614691037,0.33095049372773155,0.3378653294608133,0.35540642764256486,0.3469557057442862,0.35963633391590377,0.3596266608032123,0.35978017639963333,0.3554770836160721,0.35549335345043825,0.3596591508782681,0.35552945961190563,0.3596130713309086,0.3596186217356847,0.35559103740979653,0.3596101392551657,0.3596461683839785,0.35975077976406633,0.3596037642561994,0.35962912119134055,0.3200145279323083;-0.0006349235922285187,-0.014597022475019287,-0.014458425805563066,-0.014249364823190768,-0.014249244433134677,-0.015171938166967365,-0.013911188326674359,-0.014884652571666216,-0.01424048819411774,-0.014241288767460248,-0.014457145594753942,-0.014612008977555904,-0.015032778620092878,-0.013917035319475348,-0.015034179992801454,-0.014252810258250828,-0.008095468571821328,-0.014472549960987088,-0.014261766429531773,-0.01474853314454621,-0.013932713049745474,-0.014483155991469722,-0.011925100219932589,1.7877572512809551e-09,1.7877579248922963e-09,-0.013299009473112617,-0.01331724382115782,-0.011936429914673785,-0.0139303912312682,1.7877581138359243e-09,-0.014265572455137501,1.7877579195353535e-09,1.7877579187006034e-09,-0.013337307759173524,1.7877579170011595e-09,-0.014275878311901647,1.7877581079027728e-09,-0.013344214366632006,-0.013345984657223317,-0.013951855901746699,-0.014783817279257472,-0.014507916112772738,-0.015227385821861011,-0.014513882132679323,-0.022594689564482878,-0.01569168439945626,-0.08797504932109426,-0.08799470591666719,-0.6812072138121513,-0.2822330783630286,-0.022722081000381308,-0.9999999973881575,-0.28240842993501714,-0.6804217776527304,-0.6801263307932912,-0.017081991521837807,-0.023383799471708988,-0.2835129251886136,-0.017473010362562953,-0.28444223108556893,-0.017918104729945466,-0.018212233814067252,-0.01667445503649895,-0.017511594654351096,-0.017482232247324862,-0.01871673947129008,-0.017304105454025144,-0.01787234356034198,-0.008949402329555487,-0.018007721086807732,-0.017542115468860094,-0.01696063681618047,-0.01843568040725488,1.7877566422726456e-09,-0.018325492794993646,1.7877564358244716e-09,-0.020797410537367594,-0.020108063440188742,-0.010204749901110297,-0.018142830668653243,1.7877559609639295e-09,1.7877558807112716e-09,1.7877548756561592e-09,-0.011236788759223619,-0.011477396475958985,1.7877551140013398e-09,-0.012010984351217125,1.7877550687581397e-09,1.7877548296025961e-09,-0.012931322899822713,1.7877545468003266e-09,1.7877541283128476e-09,1.7877532806975063e-09,1.7877540411526565e-09,1.7877536085146335e-09,-0.2845180878269646
0.6490774263734372,0.793579415612484,0.49010989494360274,0.5688792267781424,0.4384235364603978,0.4900485396002922,0.49007242652962035,0.6470881644727509,0.27747057218197724,0.3866478332848751,0.22666300970297293,0.3339099843756001,0.333928426122429,0.43837451131601185,0.3866716767236575,0.33390788499184765,0.2267213291375922,0.27731245108280617,0.4383364436832475,0.33390958065532345,0.38662736131123765,0.27727567016464916,0.14261179665805024,0.38660503587734835,0.3866041071914913,0.27722717451037837,0.27721036751473416,0.14256286226537257,8.964642259047625e-05,9.03091952977811e-05,9.031028420439729e-05,8.962305176122164e-05,9.02940171829435e-05,9.029396571177274e-05,8.53971066443119e-05,9.318871199596413e-05,9.313841929612208e-05,0.1424460429406078,0.1424332433316735,0.2770946473683518,0.3336877327995884,0.33368324353785117,0.3863990733704778,0.3863886819191724,0.3863723241978686,0.38638414106995783,0.6466945106342278,0.7928148259923551,0.7928120642098625,0.7927979324180393,0.792782029779952,0.954021376456253,0.9739181890523828,0.5682933585924685,0.9738335650963015,0.8521964974022807,0.9778190082759415,0.9520280665354368,0.951871428876167,1.000000005612802,0.4893249087277506,0.8970147301034054,0.8969522639790394,0.7218529396856547,0.9728346055783638,0.6457391456356311,0.4371874870393325,0.7212874434649807,0.38535175505076397,0.7913633258793868,0.3851011094163357,0.4880766656316519,0.644650166388732,0.3847444236367502,0.7905640469563139,0.4874851536576021,0.48727035946023395,0.48706859621372905,0.3839539151515138,0.8946905428002307,0.564701871465839,0.8489798700357634,0.7886395819645201,0.4856975176006714,0.8932838768257784,0.8929660503869478,0.9326393850474843,0.9298394298164041,0.6392464831793684,0.9213192545601657,0.9228537252028614,0.6358656306382431,0.9195178155961617,0.7765818927968149,0.8769407775693566,9.037042026030234e-05;0.7861192113581934,0.7383814972224781,0.8132749893271509,0.7982263874299739,0.825284435471083,0.8132491842838104,0.8132600440887187,0.7824583002483406,0.8883018853169464,0.8406876263925028,0.9230649607431807,0.8614680111158696,0.8614843183440012,0.825298795097511,0.840731997027603,0.8614998261348401,0.9232258213356062,0.8883559236764056,0.82530730960398,0.8615323503487906,0.8407545248288277,0.8884501189430507,0.9608981846150952,0.8407691789723253,0.8407747486252866,0.8884212943127113,0.8884210126787303,0.9609143395223817,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780894,1.0000000039780894,0.9609399022962561,0.9609435474187151,0.8884657858844291,0.8616041460127125,0.8616087210985701,0.8408157559796388,0.8408181771661539,0.8408184155122188,0.8408313653167081,0.7827012821691657,0.7379919201094514,0.7380246196661965,0.7380457565215143,0.7380511654103217,0.34132714049834056,0.30141491793001984,0.7970111168887212,0.30188887692451905,0.6877566477401214,0.2150425545148522,0.3437020275003616,0.34368275359334954,0.00023463331493112798,0.8133900831308031,0.6081908207547218,0.6083628028452787,0.7656662760153286,0.308032242110381,0.7827798057960658,0.8255850642820071,0.7657042076337275,0.841140169485555,0.7386993674677607,0.841192218358623,0.8135694728043739,0.7827982364007868,0.841308545683508,0.7391228928437745,0.813678524914654,0.8136908924678842,0.8137148483429608,0.8415202193966241,0.6131376383717733,0.7968885450807747,0.6919526148098919,0.7401960252840016,0.8139790813098091,0.6160306940709032,0.6170749158427997,0.3486937697243667,0.34834427146302355,0.7831057868042426,0.3460171364293862,0.5325803406953418,0.7835052137190937,0.5428685133644322,0.7463088518891204,0.6499465276244021,1.0000000039780896;0.30575056783049664,0.2933767698340315,0.31260363540616337,0.30862493915349476,0.3157142811089652,0.312604514346474,0.312609388418312,0.3046845005192167,0.3309234019241105,0.3196382116688639,0.3372988363514796,0.32477293314019606,0.324778221658491,0.3157364882409222,0.3196568236407878,0.32478623280491964,0.33738142825025713,0.33093230343379176,0.31574385221653456,0.3247974634988862,0.3196680219387967,0.33095207091424944,0.3488968168012677,0.31967410112403466,0.319675144698478,0.3309511353142419,0.33095233564196747,0.3489048068451815,0.356070053885273,0.35608016642441315,0.35608064253025323,0.3560722001206611,0.35607422115489074,0.3560735404431888,0.3560725369032732,0.3561371364396188,0.3561299741756113,0.3489071422482277,0.34890591695789436,0.330955144913168,0.32481106613374816,0.32481049585387517,0.319675672354156,0.3196747222110185,0.31967331549579114,0.31967461541352,0.3047614476035224,0.29318829794184326,0.29319698585368953,0.2932028174247653,0.29320254880751767,0.17241631364865498,0.1678670258586885,0.3084077887435268,0.1681247227308783,0.2792960294882084,0.10068742968622266,0.17007491287986043,0.16998129376342463,0.00011254682122276416,0.31262935203701564,0.25604111188914597,0.25609931141819825,0.3003670771458118,0.17149176797512258,0.30477377408597134,0.3157863514497208,0.30038244558640015,0.3197320038547619,0.2933633463674427,0.3197435944767684,0.31267797730698393,0.3047844549478113,0.3197689164597045,0.29347147335903234,0.31270075394164126,0.3127030865406558,0.31270790266488996,0.31981350252281737,0.2574950122448731,0.30841412309945143,0.2805239275671492,0.2937520246473442,0.3127629748102449,0.25823614839509074,0.25871018526854467,0.1611808030012013,0.15938323358504267,0.3048679936779039,0.15327773407267786,0.23201277083541028,0.30499544718406707,0.23533891573362914,0.2954358812957316,0.26826622387556576,0.3555444286017111;-0.03518840711171033,-0.037204882300333586,-0.03357442862346209,-0.03443949989237223,-0.03288809641259302,-0.033591416910875006,-0.0335983327343801,-0.0351878228632538,-0.028725743320628484,-0.032026955715164646,-0.025406940131328014,-0.030761379931936866,-0.030772752308977757,-0.032985885244126587,-0.03209244223532512,-0.030815681764479935,-0.025454092349710588,-0.028825909970496572,-0.033079540051206606,-0.03088524002352395,-0.03220818175527835,-0.02888242999365496,-0.018666186772085477,-0.03228064124941483,-0.03230621096006351,-0.028973467642956694,-0.02899671839922123,-0.01870680228371617,1.7877554781887637e-09,1.7877554133437867e-09,1.7877554113978958e-09,1.7877554723510962e-09,1.7877554468180236e-09,1.7877554448721287e-09,1.7877554934701174e-09,1.787755087185432e-09,1.787755085238611e-09,-0.01879869184352711,-0.018807635802603404,-0.029312220140391247,-0.03144149333618663,-0.0314727728769624,-0.032861999792699007,-0.03289898504140804,-0.032937544849702835,-0.032976564038872586,-0.0364249457115691,-0.03868710404509113,-0.03874763690338519,-0.03881122262881053,-0.03887635032907114,-0.06393471358736037,-0.204454002694582,-0.0360626797938265,-0.20539677835388767,-0.04140518301469967,-0.271955068836422,-0.06545058199702025,-0.0654604012962704,-0.9999999970218257,-0.03588310820663094,-0.04623845224644948,-0.04660544310176644,-0.03946233606161047,-0.21765397660240934,-0.03904736463149691,-0.03654010152990612,-0.040816636923610525,-0.035998819598301736,-0.04322280760109755,-0.03663188198162096,-0.03914332380210327,-0.04176581951540921,-0.037700355621898086,-0.04579059848994283,-0.040881164506361097,-0.041382565923546166,-0.04191380260987986,-0.03991891642651041,-0.05818461942007914,-0.04523184027370286,-0.05461222743437238,-0.05205875788160418,-0.04603589377830308,-0.06538151007694666,-0.06734563384845922,-0.08860372055872483,-0.09082977720020874,-0.05616076093243241,-0.096088967957348,-0.10357385722728892,-0.06524968461146256,-0.1248819670619486,-0.09055407782756841,-0.14838709432316302,1.7877535680278219e-09
1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,0.9975063967532014,0.9888307502022418,0.6681011527548224,6.624686285184605e-05,6.623375224309872e-05,6.623306522216945e-05,6.629510793559053e-05,0.30028515030270286,0.4230120197499074,0.4497837173829619,0.4356341179809906,0.2841498301693025,6.625637135962737e-05,6.62351926588751e-05,6.624996271346528e-05,6.624826264288488e-05,6.624540188375959e-05,6.623246163492184e-05,6.623855205270047e-05,6.623688140168014e-05,6.623408638524538e-05,6.623591223406278e-05,6.6240533949774e-05,6.624070664730704e-05,6.623950470983526e-05,6.624286352501947e-05,6.625897303141232e-05,6.628815119608496e-05,6.62882291259446e-05,6.628830573196767e-05,6.626747217131577e-05,6.6280459758399e-05,8.89143761565546e-05,0.2101634544638219,0.4451202279163631,0.8680585067529966,0.9617218474179235,0.9719360244194178,0.9907171393548957,0.9951090593216575,1.0000000075045212,0.9996955065201587,1.000000007504521,1.000000007504521,1.0000000075045212,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,1.0000000075045214,0.9945343469523646;0.00012463291795809355,0.00012468507131688374,0.00012467397539221177,0.0001246804499002711,0.00012466571000929047,0.0001246838544664948,0.00012469192452210039,0.0001246902886496214,0.0001246994940611616,0.00012469175457198656,0.00012469796855993414,0.000124687613135853,0.00012469713751804397,0.00012469659888414335,0.00012469475573978673,0.00012469642361447446,0.00012469171945249423,0.00012469485750831193,0.00012468962949599785,0.00012469771469818684,0.00012469048832417455,0.00012469609477727006,0.00012468791823221786,0.00012468029935973603,0.000124637890699,0.0001245941834546777,0.00012461383409161832,0.1007297866768261,0.2227813469310231,0.7701042290654259,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780874,0.8848333166172114,0.8400163518395307,0.8199869189606436,0.8344613946475691,0.8937563128059489,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780899,1.0000000039780892,1.0000000039780892,1.0000000039780892,1.0000000039780896,1.0000000039780896,0.999999998483147,0.9329369972990158,0.8118498659217783,0.6575143021871859,0.4244693496105169,0.3614642958873641,0.19870034959098712,0.1385317447253683,0.00012449786958029498,0.032146699152047035,0.00012445675787517042,0.0001244582436161359,0.0001245197711395117,0.0001246404386595692,0.00012465754579606866,0.00012467905281851412,0.00012467868720385003,0.00012468711390654395,0.00012467774360626642,0.00012468634947367577,0.00012469435174647896,0.00012469663753057674,0.00012469750109233798,0.0001246992998874909,0.0001246967521165802,0.00012469628083180582,0.00012469814595711618,0.000124697627266689,0.00012470109091951227,0.00012470058442227598,0.00012469992839144787,0.00012470098391309734,0.00012469894342426717,0.00012468741358913522,0.0001246910333319502,0.0001246906260927707,0.1565832826830724;6.987257117367987e-05,6.986969517308378e-05,6.987072161039815e-05,6.987014997852464e-05,6.987137387814545e-05,6.98698044417858e-05,6.986882429402605e-05,6.98690347411185e-05,6.986752097291375e-05,6.986881645953331e-05,6.986778814503951e-05,6.986935266258364e-05,6.986791529309625e-05,6.986800201252363e-05,6.986831193114224e-05,6.986801478539467e-05,6.986877508541541e-05,6.986827522761062e-05,6.986906793011869e-05,6.986773929181398e-05,6.98689422579336e-05,6.986803554200567e-05,6.986929574250247e-05,6.987022019657809e-05,6.987375600095222e-05,6.987651492020093e-05,6.987537137218904e-05,0.04426499808023364,0.09330625440893066,0.30242815241336024,0.3605354352004735,0.36054714761931494,0.3605476898704307,0.3606800975340037,0.3334795884449319,0.3239596112628247,0.31830585938047445,0.32267035620010415,0.33679059634913133,0.36054054337909514,0.36054731873566354,0.36056673833687575,0.3605663459039396,0.36056567097818765,0.36056090712791017,0.36056368368347586,0.36056302198603224,0.36055159877199977,0.36055025973782134,0.3605481907505917,0.36054754822536117,0.3605471565486021,0.36054554840631753,0.3605449612489658,0.36058493316633056,0.3605834124306923,0.36058181716318205,0.360540572263958,0.36054667406428254,0.3607426711833521,0.3460408182555362,0.31447663867044534,0.27059553678262804,0.16393349542356248,0.14147850956937022,0.08225638543359824,0.05942283299872437,6.987666343671125e-05,0.014879106385501085,6.98788218975871e-05,6.987895927321355e-05,6.987669548418933e-05,6.987309226898179e-05,6.987204902065845e-05,6.987028774422128e-05,6.987032782344383e-05,6.986940719044834e-05,6.98704245769542e-05,6.986950454728127e-05,6.986841069814062e-05,6.986802850137161e-05,6.986787425389301e-05,6.986752133663615e-05,6.986802088810935e-05,6.986810924513623e-05,6.986777304123142e-05,6.986787849141087e-05,6.986715357756415e-05,6.986728345400662e-05,6.986744085014481e-05,6.986721174499343e-05,6.986766613175955e-05,6.986940851194284e-05,6.986895111103345e-05,6.986899639117615e-05,0.06888990170797725;-0.0732470013300334,-0.0747353886446948,-0.07352658415971708,-0.07383455452692651,-0.0721457819926179,-0.07373199984571413,-0.07457616298153219,-0.07421926427948046,-0.07570172396706307,-0.0742694309561445,-0.07543352946894114,-0.07343671993295296,-0.07538055508003061,-0.07535724579075948,-0.07504904135108038,-0.07560085983765773,-0.07462220592685259,-0.07558445048894008,-0.0744621682432731,-0.07685344664792419,-0.07511940017869956,-0.07696879743334858,-0.07496610157606567,-0.07316531110639317,-0.0607797247735845,-0.046007544519815105,-0.05234286721380903,1.787738716110703e-09,1.787750998521089e-09,1.787754452692622e-09,5.8938770071219235e-09,5.893877016247839e-09,5.893877015014075e-09,5.893876361121395e-09,1.7877548201398815e-09,1.7877546095669503e-09,1.78775456440153e-09,1.7877545844026608e-09,1.7877548559412083e-09,5.893876979960572e-09,5.893876999922688e-09,5.893877008805164e-09,5.8938770071390826e-09,5.893877005450247e-09,5.893877002128506e-09,5.893877001996731e-09,5.893877000499111e-09,5.89387699016232e-09,5.893876987055183e-09,5.8938769802998965e-09,5.893876979066134e-09,5.893876979607145e-09,5.893876974626636e-09,5.8938769546591496e-09,5.8938768169368946e-09,5.893876815703131e-09,5.893876814469367e-09,5.89387694169536e-09,5.893876908346657e-09,4.874793039998823e-09,1.7877551971688236e-09,1.7877544365563033e-09,1.787754076266389e-09,1.7877533254838285e-09,1.7877529444689796e-09,1.7877500942958241e-09,1.787746269595438e-09,-0.04189330504994086,1.7876249789479114e-09,-0.03016058464350148,-0.030192063228971056,-0.04747510454880609,-0.09036641999506811,-0.09710980729536434,-0.1056507538582088,-0.10677970090072379,-0.11134293043855785,-0.10926804592218159,-0.114223014751996,-0.11953876701701112,-0.12276177277016959,-0.1255803597617442,-0.12929587137452575,-0.13084134065923048,-0.1340164825978722,-0.13913665176046675,-0.14349285352674349,-0.15167372237742724,-0.15816398372454638,-0.16618716061620467,-0.17835493307299952,-0.1915069301472186,-0.2029610630739475,-0.24492154069433472,-0.34598718156380887,-0.9906565407904656
